route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
14,2,220843,BUENA VISTA,,0,23767,14991,1,1
14,2,220842,BUENA VISTA,,0,23767,14991,1,1
14,2,220841,BUENA VISTA,,0,23767,14991,1,1
14,2,220840,BUENA VISTA,,0,23767,14991,1,1
14,2,220839,BUENA VISTA,,0,23767,14991,1,1
14,2,220838,BUENA VISTA,,0,23767,14991,1,1
14,2,220837,BUENA VISTA,,0,23767,14992,1,1
14,2,220836,BUENA VISTA,,0,23767,14992,1,1
14,2,220852,BUENA VISTA,,0,23767,14992,1,1
14,2,220851,BUENA VISTA,,0,23767,14992,1,1
14,2,220850,BUENA VISTA,,0,23767,14992,1,1
14,2,220849,BUENA VISTA,,0,23767,14992,1,1
14,2,220848,BUENA VISTA,,0,23767,14992,1,1
14,2,220847,BUENA VISTA,,0,23767,14992,1,1
14,2,220846,BUENA VISTA,,0,23767,14992,1,1
14,2,220845,BUENA VISTA,,0,23767,14992,1,1
14,2,220844,BUENA VISTA,,0,23767,14992,1,1
14,2,220854,DOWNTOWN,,1,23767,14993,1,1
14,2,220853,DOWNTOWN,,1,23767,14993,1,1
14,2,220868,DOWNTOWN,,1,23767,14993,1,1
14,2,220867,DOWNTOWN,,1,23767,14993,1,1
14,2,220866,DOWNTOWN,,1,23767,14993,1,1
14,2,220865,DOWNTOWN,,1,23767,14993,1,1
14,2,220864,DOWNTOWN,,1,23767,14994,1,1
14,2,220863,DOWNTOWN,,1,23767,14994,1,1
14,2,220862,DOWNTOWN,,1,23767,14994,1,1
14,2,220861,DOWNTOWN,,1,23767,14994,1,1
14,2,220860,DOWNTOWN,,1,23767,14994,1,1
14,2,220859,DOWNTOWN,,1,23767,14994,1,1
14,2,220858,DOWNTOWN,,1,23767,14994,1,1
14,2,220857,DOWNTOWN,,1,23767,14994,1,1
14,2,220856,DOWNTOWN,,1,23767,14994,1,1
14,2,220855,DOWNTOWN,,1,23767,14994,1,1
