Segment,Distance,OSM_Feature,Initial_recorded_Latitude,Initial_recorded_Longitude,Final_recorded_Latitude,Final_recorded_Longitude,TimeStamp_Begin,TimeStamp_End,TimeStart,TimeFinish,Charge_at_Begining,Charge_at_Final,TimeNeeded_in_Seconds,Primary,Primary_link,Secondary,Secondary_link,Tertiary,Tertiary_link,Trunk,Motorway,Motorway_link,Service,Residential,Track,Unknown,Unclassified,Charge_Consumed,Geometry
1,158.17949396587196,19493216,35.05772018432617,-85.27410125732422,35.058483123779304,-85.27556610107422,1572598479000.0,1572598510000.0,2019-11-01 03:54:39:000,2019-11-01 03:55:10:000,97.7,97.67122232510289,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028777674897114025,"LINESTRING (-85.2757452 35.0585375, -85.2752966 35.0583099, -85.2740206 35.0576623, -85.2734839 35.0573829)"
3,902.5815253332165,174321039,35.058483123779304,-85.27556610107422,35.054698944091804,-85.2843246459961,1572598511000.0,1572598598000.0,2019-11-01 03:55:11:000,2019-11-01 03:56:38:000,97.67061010288064,97.10438800411522,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5662220987654223,"LINESTRING (-85.2842416 35.0546442, -85.2835906 35.054841, -85.2832586 35.0549564, -85.28308 35.0550185, -85.2828495 35.0550987, -85.2823381 35.0552765, -85.2822658 35.0553017, -85.2808893 35.0557818, -85.28039920000001 35.0559527, -85.279223 35.0563607, -85.2784053 35.0566831, -85.2780463 35.0568247, -85.2775661 35.0571046, -85.2771126 35.0574008, -85.2764985 35.0578782, -85.2757452 35.0585375, -85.27535659999999 35.0588742, -85.2752575 35.0589601, -85.27498490000001 35.059198, -85.27483359999999 35.0593405, -85.2745949 35.0596311, -85.274531 35.059737, -85.2744397 35.0599205)"
5,16.575978194755148,86093210,35.05464553833008,-85.28449249267578,35.05458831787109,-85.28466033935547,1572598599000.0,1572598600000.0,2019-11-01 03:56:39:000,2019-11-01 03:56:40:000,97.09705672839506,97.08870504115228,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.008351687242779349,"LINESTRING (-85.28611669999999 35.0538483, -85.2860234 35.0537656, -85.28587829999999 35.053637, -85.2858471 35.0534999, -85.2858727 35.0534093, -85.28601740000001 35.0533535, -85.28627280000001 35.0532815, -85.2866645 35.053019, -85.28680919999999 35.0529167, -85.287093 35.052933, -85.2874762 35.0531677, -85.2874999 35.053237, -85.2875159 35.0532838, -85.2874563 35.053407, -85.28716970000001 35.0535556, -85.2868222 35.0537945, -85.28614229999999 35.0542619, -85.2858755 35.0544315, -85.2855503 35.0545074, -85.28530790000001 35.054564, -85.2847005 35.0547405, -85.2844053 35.0548521, -85.2843647 35.0548457, -85.2843316 35.0548404, -85.2842416 35.0546442)"
7,220.2839176158139,174321043,35.05453491210937,-85.28482818603516,35.053421020507805,-85.28682708740234,1572598601000.0,1572598615000.0,2019-11-01 03:56:41:000,2019-11-01 03:56:55:000,97.07867047325102,96.95438453703704,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12428593621397965,"LINESTRING (-85.2849872 35.0544486, -85.2853303 35.0543098, -85.2856122 35.0541693, -85.28585529999999 35.0540255, -85.28611669999999 35.0538483, -85.2870604 35.0532162)"
9,350.15911091929087,174321044,35.05331802368164,-85.28697967529297,35.05233383178711,-85.2906265258789,1572598616000.0,1572598637000.0,2019-11-01 03:56:56:000,2019-11-01 03:57:17:000,96.94990198559671,96.75704755144031,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192854434156402,"LINESTRING (-85.2870604 35.0532162, -85.2873893 35.0529971, -85.2877938 35.0527647, -85.2881594 35.0525858, -85.2885373 35.0524687, -85.2889826 35.0523768, -85.2894075 35.0523433, -85.2907372 35.0523467)"
11,387.4205534587455,86093238,35.05233383178711,-85.29080963134766,35.052169799804695,-85.29505157470703,1572598638000.0,1572598660000.0,2019-11-01 03:57:18:000,2019-11-01 03:57:40:000,96.75611702674897,96.64490595679013,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11121106995884134,"LINESTRING (-85.29910599999999 35.0515223, -85.29839920000001 35.0513066, -85.2980847 35.0512564, -85.297766 35.0512363, -85.2974269 35.0512447, -85.2970756 35.0512949, -85.29675279999999 35.0513768, -85.2963749 35.0515189, -85.2954435 35.0518969, -85.2951453 35.0520106, -85.29482659999999 35.0520975, -85.2944487 35.0521678, -85.2940055 35.0522179, -85.29363979999999 35.0522296, -85.2907311 35.0522346)"
13,255.11186433612374,174321037,35.05211639404297,-85.29524230957031,35.051475524902344,-85.29792785644531,1572598661000.0,1572598678000.0,2019-11-01 03:57:41:000,2019-11-01 03:57:58:000,96.64410160493829,96.62294902263376,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02115258230452355,"LINESTRING (-85.2907372 35.0523467, -85.2915173 35.0523457, -85.29349689999999 35.0523433, -85.2940504 35.0523333, -85.2944875 35.0522798, -85.2948981 35.0522012, -85.29534339999999 35.0520607, -85.2958479 35.0518584, -85.2961646 35.0517363, -85.2965179 35.0515959, -85.2968509 35.0514621, -85.29719 35.0513902, -85.2975454 35.0513501, -85.29787020000001 35.0513551, -85.2980744 35.0513684, -85.29844009999999 35.051437, -85.2987567 35.0515273, -85.2990181 35.0516143)"
15,109.59952645872109,51067070,35.05150985717773,-85.29805755615234,35.0518798828125,-85.2991714477539,1572598679000.0,1572598692000.0,2019-11-01 03:57:59:000,2019-11-01 03:58:12:000,96.62183013374485,96.59882777777777,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.023002355967079783,"LINESTRING (-85.2968509 35.0514621, -85.2972431 35.0514721, -85.2974698 35.0514621, -85.2977762 35.0514905, -85.29798460000001 35.0515306, -85.2981664 35.0515858, -85.2991186 35.0519225)"
17,53.17441192676714,51067068,35.05184936523437,-85.2992172241211,35.05143356323242,-85.29950714111328,1572598693000.0,1572598703000.0,2019-11-01 03:58:13:000,2019-11-01 03:58:23:000,96.58892160493828,96.54480836419754,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0441132407407423,"LINESTRING (-85.2991186 35.0519225, -85.29940860000001 35.0513666, -85.2994455 35.0512959, -85.2994937 35.0512169, -85.2995755 35.0510828, -85.299716 35.050838, -85.2997809 35.0507266, -85.29981549999999 35.050668)"
19,449.9810499272495,393463231,35.05141448974609,-85.29954528808594,35.05305862426758,-85.3040542602539,1572598704000.0,1572598745000.0,2019-11-01 03:58:24:000,2019-11-01 03:59:05:000,96.53179478395063,95.98086122427985,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5509335596707814,"LINESTRING (-85.3038993 35.053023, -85.3027543 35.052579, -85.3013776 35.052031, -85.3013145 35.0520029, -85.3006288 35.0517497, -85.2995442 35.0513342, -85.2994455 35.0512959)"
