Sample,OSM_Feature,Distance,Initial_recorded_Latitude,Initial_recorded_Longitude,Final_recorded_Latitude,Final_recorded_Longitude,TimeStamp_Begin,TimeStamp_End,TimeStart,TimeFinish,Energy_at_Begining,Energy_at_Final,TimeNeeded_in_Seconds,Primary,Primary_link,Secondary,Secondary_link,Tertiary,Tertiary_link,Trunk,Motorway,Motorway_link,Service,Residential,Track,Unknown,Unclassified,Energy_Consumed
1,19493216,158.36915191071682,35.05772018432617,-85.27410125732422,35.058483123779304,-85.27556610107422,1572598479000.0,1572598510000.0,2019-11-01 03:54:39:000,2019-11-01 03:55:10:000,97.7,97.67122232510289,31,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.028777674897114025
2,174321039,0.0,35.058483123779304,-85.27556610107422,35.058483123779304,-85.27556610107422,1572598510000.0,1572598511000.0,2019-11-01 03:55:10:000,2019-11-01 03:55:11:000,97.67122232510289,97.67061010288064,1,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0006122222222444407
3,174321039,921.8867872523282,35.058483123779304,-85.27556610107422,35.054698944091804,-85.2843246459961,1572598511000.0,1572598598000.0,2019-11-01 03:55:11:000,2019-11-01 03:56:38:000,97.67061010288064,97.10438800411522,87,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.5662220987654223
4,86093210,16.418546813191927,35.054698944091804,-85.2843246459961,35.05464553833008,-85.28449249267578,1572598598000.0,1572598599000.0,2019-11-01 03:56:38:000,2019-11-01 03:56:39:000,97.10438800411522,97.09705672839506,1,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0073312757201620124
5,86093210,38.9805993499201,35.05464553833008,-85.28449249267578,35.05458831787109,-85.28466033935547,1572598599000.0,1572598600000.0,2019-11-01 03:56:39:000,2019-11-01 03:56:40:000,97.09705672839506,97.08870504115228,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.008351687242779349
6,174321043,16.418566031266245,35.05458831787109,-85.28466033935547,35.05453491210937,-85.28482818603516,1572598600000.0,1572598601000.0,2019-11-01 03:56:40:000,2019-11-01 03:56:41:000,97.08870504115228,97.07867047325102,1,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.010034567901257674
7,174321043,220.7633670070821,35.05453491210937,-85.28482818603516,35.053421020507805,-85.28682708740234,1572598601000.0,1572598615000.0,2019-11-01 03:56:41:000,2019-11-01 03:56:55:000,97.07867047325102,96.95438453703704,14,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.12428593621397965
8,174321044,18.009605365264992,35.053421020507805,-85.28682708740234,35.05331802368164,-85.28697967529297,1572598615000.0,1572598616000.0,2019-11-01 03:56:55:000,2019-11-01 03:56:56:000,96.95438453703704,96.94990198559671,1,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.004482551440332827
9,174321044,364.32909757158137,35.05331802368164,-85.28697967529297,35.05233383178711,-85.2906265258789,1572598616000.0,1572598637000.0,2019-11-01 03:56:56:000,2019-11-01 03:57:17:000,96.94990198559671,96.75704755144031,21,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.19285443415640197
10,86093238,16.704713626356803,35.05233383178711,-85.2906265258789,35.05233383178711,-85.29080963134766,1572598637000.0,1572598638000.0,2019-11-01 03:57:17:000,2019-11-01 03:57:18:000,96.75704755144031,96.75611702674897,1,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0009305246913413613
11,86093238,390.0400681362679,35.05233383178711,-85.29080963134766,35.052169799804695,-85.29505157470703,1572598638000.0,1572598660000.0,2019-11-01 03:57:18:000,2019-11-01 03:57:40:000,96.75611702674897,96.64490595679013,22,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.11121106995884134
12,174321037,18.381836624468047,35.052169799804695,-85.29505157470703,35.05211639404297,-85.29524230957031,1572598660000.0,1572598661000.0,2019-11-01 03:57:40:000,2019-11-01 03:57:41:000,96.64490595679013,96.64410160493829,1,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.000804351851840579
13,174321037,272.4993025236054,35.05211639404297,-85.29524230957031,35.051475524902344,-85.29792785644531,1572598661000.0,1572598678000.0,2019-11-01 03:57:41:000,2019-11-01 03:57:58:000,96.64410160493829,96.62294902263376,17,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.02115258230452355
14,51067070,12.430550426229392,35.051475524902344,-85.29792785644531,35.05150985717773,-85.29805755615234,1572598678000.0,1572598679000.0,2019-11-01 03:57:58:000,2019-11-01 03:57:59:000,96.62294902263376,96.62183013374485,1,0.5,0.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0011188888889108741
15,51067070,110.34538766775059,35.05150985717773,-85.29805755615234,35.0518798828125,-85.2991714477539,1572598679000.0,1572598692000.0,2019-11-01 03:57:59:000,2019-11-01 03:58:12:000,96.62183013374485,96.59882777777777,13,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.023002355967079783
16,51067068,5.376188630559313,35.0518798828125,-85.2991714477539,35.05184936523437,-85.2992172241211,1572598692000.0,1572598693000.0,2019-11-01 03:58:12:000,2019-11-01 03:58:13:000,96.59882777777777,96.58892160493828,1,0.0,0.5,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.009906172839492909
17,51067068,53.17441192676714,35.05184936523437,-85.2992172241211,35.05143356323242,-85.29950714111328,1572598693000.0,1572598703000.0,2019-11-01 03:58:13:000,2019-11-01 03:58:23:000,96.58892160493828,96.54480836419754,10,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0441132407407423
18,393463231,4.073000741765739,35.05143356323242,-85.29950714111328,35.05141448974609,-85.29954528808594,1572598703000.0,1572598704000.0,2019-11-01 03:58:23:000,2019-11-01 03:58:24:000,96.54480836419754,96.53179478395063,1,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.013013580246905576
19,393463231,450.25634410317167,35.05141448974609,-85.29954528808594,35.05305862426758,-85.3040542602539,1572598704000.0,1572598745000.0,2019-11-01 03:58:24:000,2019-11-01 03:59:05:000,96.53179478395063,95.98086122427985,41,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.5509335596707814
20,19500872,12.87621086460891,35.05305862426758,-85.3040542602539,35.05310440063477,-85.30418395996094,1572598745000.0,1572598746000.0,2019-11-01 03:59:05:000,2019-11-01 03:59:06:000,95.98086122427985,95.97968822016459,1,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.001173004115258891
21,19500872,498.2169514931414,35.05310440063477,-85.30418395996094,35.05353546142578,-85.30953979492188,1572598746000.0,1572598825000.0,2019-11-01 03:59:06:000,2019-11-01 04:00:25:000,95.97968822016459,95.80207062757202,79,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.17761759259256849
22,51067095,2.063139538985334,35.05353546142578,-85.30953979492188,35.05352935791016,-85.30956115722657,1572598825000.0,1572598861000.0,2019-11-01 04:00:25:000,2019-11-01 04:01:01:000,95.80207062757202,95.748201718107,36,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.05386890946502376
